,\HD\,41667} \\
  {[O  ,  +0.03  ,   +0.08  ,-0.01  ,  0.07  ,  0.11 \\
{[Fe II/H]}  ,-0.03  ,   +0.11  ,-0.02  ,  0.03  ,  0.12 \\
 {[Ni  ,  +0.08  ,   +0.01  ,-0.00  ,  0.07  ,  0.11 \\
 {[Cu  ,  +0.14  ,   +0.00  ,-0.03  ,  0.10  ,  0.17 \\
 {[Zn  ,  +0.01  ,   +0.06  ,-0.05  ,  0.07  ,  0.11 \\
 {[Sr  ,  +0.14  , -0.02  ,-0.02  ,  0.10  ,  0.17 \\
 {[Y II/H]}  ,  +0.03  ,   +0.09  ,-0.04  ,  0.04  ,  0.11 \\
{[Ba II/H]}  ,  +0.06  ,   +0.09  ,-0.12  ,  0.07  ,  0.18 \\
{[Ce II/H]}  ,  +0.04  ,   +0.09  ,-0.01  ,  0.07  ,  0.12 \\
{[Nd II/H]}  ,  +0.05  ,   +0.07  ,-0.01  ,  0.10  ,  0.13 \\
{[Eu II/H]}  ,  +0.05  ,   +0.09  ,-0.08  ,  0.10  ,  0.16 \\
