#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-11-21T04:58:33 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:   question@simbad.u-strasbg.fr
#
#
#Coosys J2000:  eq_FK5 J2000
#INFO   votable-version=1.91 (20-Jun-2012)  
#INFO   -ref=VIZ50ac5f124423    
#INFO   -out.max=unlimited  
#INFO   queryParameters=27  
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/505/117&tab:{J/A+A/505/117/stars}&key:source=J/A+A/505/117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/117/stars
#-order=I
#-out=NGC
#-out=ID
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=RV11
#-out=RV13
#-out=Teff
#-out=[FeI/H]
#-out=e_[FeI/H]
#-out=[O/Fe]
#-out=e_[O/Fe]
#-out=l_[Na/Fe]
#-out=[Na/Fe]
#-out=e_[Na/Fe]
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35050117
#Name: J/A+A/505/117
#Title: Abundances of red giants in 15 globular clusters (Carretta+, 2009)
#Table  J_A_A_505_117_stars:
#Name: J/A+A/505/117/stars
#Title: ID, positions, magnitudes, RVs, atmospheric parameters and abundances for stars in 15 GCs {\em(tables 2, 3 and 6 of paper)}
#Column NGC (I4)    NGC number  [ucd=meta.id.parent]
#Column ID  (I7)    Star ID [ucd=meta.id;meta.main]
#Column Bmag    (F6.3)  Johnson B magnitude [ucd=phot.mag;em.opt.B]
#Column Vmag    (F6.3)  Johnson V magnitude [ucd=phot.mag;em.opt.V]
#Column Icmag   (F6.3)  ? Cousins I magnitude   [ucd=phot.mag;em.opt.I]
#Column Kmag    (F6.3)  ? 2MASS K magnitude [ucd=phot.mag;em.IR.K]
#Column RV11    (F7.2)  ? RV in grating HR11    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column RV13    (F7.2)  ? RV in grating HR13    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column Teff    (I4)    Effective temperature   [ucd=phys.temperature.effective]
#Column [FeI/H] (F6.3)  ? [FeI/H] abundance [ucd=phys.abund]
#Column e_[FeI/H]   (F6.3)  ? rms uncertainty on [FeI/H]    [ucd=stat.error;phys.abund]
#Column [O/Fe]  (F6.3)  ? [O/Fe] abundance  [ucd=phys.abund]
#Column e_[O/Fe]    (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column l_[Na/Fe]   (A1)    Limit flag on [Na/Fe]   [ucd=meta.code.error;phys.abund]
#Column [Na/Fe] (F6.3)  ? [Na/Fe] abundance [ucd=phys.abund]
#Column e_[Na/Fe]   (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column RAJ2000 (A12)   Right ascension (J2000.0)   [ucd=pos.eq.ra;meta.main]
#Column DEJ2000 (A12)   Declination (J2000.0)   [ucd=pos.eq.dec;meta.main]
NGC;ID;Bmag;Vmag;Icmag;Kmag;RV11;RV13;Teff;[FeI/H];e_[FeI/H];[O/Fe];e_[O/Fe];l_[Na/Fe];[Na/Fe];e_[Na/Fe];RAJ2000;DEJ2000
3201; 542040;15.851;14.845;      ;11.853; 492.85; 494.06;4753;-1.430; 0.145; 0.373; 0.173; ; 0.001; 0.065;10 17 36.377;-46 25 49.32
3201; 542176;16.147;15.222;      ;12.299; 493.41; 493.46;4833;-1.535; 0.157;-0.303; 9.999;<; 0.363; 0.051;10 18 05.333;-46 25 48.41
3201; 542180;16.935;16.106;      ;13.278; 494.08;       ;5008;-1.571; 0.078;      ; 9.999; ; 0.053; 0.057;10 17 54.449;-46 25 48.45
3201; 542362;15.258;14.258;      ;11.240; 497.11; 497.03;4643;-1.505; 0.133;-0.363; 9.999;<; 0.628; 0.069;10 17 16.852;-46 25 45.34
3201; 542486;15.730;14.784;      ;11.855; 497.60; 497.43;4753;-1.551; 0.128;-0.032; 9.999;<; 0.309; 0.034;10 17 32.696;-46 25 45.09
3201; 542579;16.524;15.559;      ;12.620;       ; 493.88;4890;-1.543; 0.171;-0.022; 9.999; ; 0.432; 0.050;10 17 42.210;-46 25 44.53
3201; 543003;17.499;16.674;      ;14.082;       ; 493.44;5151;-1.509; 0.126; 0.063; 9.999;<;      ; 9.999;10 18 10.719;-46 25 40.32
3201; 543664;15.864;14.814;      ;11.767; 498.38;       ;4737;-1.457; 0.105;      ; 9.999; ;-0.103; 0.063;10 17 41.145;-46 25 33.76
3201; 543863;14.861;13.668;      ;10.414; 490.53;       ;4495;-1.562; 0.141;      ; 9.999; ;-0.246; 0.094;10 17 45.403;-46 25 31.74
3201; 543875;16.773;15.903;      ;13.176;       ; 497.91;4989;-1.555; 0.114; 0.142; 9.999; ;      ; 9.999;10 17 26.942;-46 25 30.92
3201; 544181;15.767;14.796;      ;11.908; 489.89; 490.07;4763;-1.541; 0.139; 0.049; 0.247;<; 0.249; 0.082;10 17 30.396;-46 25 27.96
3201; 544599;16.346;15.373;      ;12.470;       ; 493.37;4863;-1.471; 0.158; 0.202; 9.999;<;-0.044; 9.999;10 17 46.735;-46 25 24.48
3201; 544663;17.427;16.629;      ;14.060; 495.18;       ;5147;-1.446; 0.085;      ; 9.999; ; 0.171; 0.029;10 16 58.354;-46 25 21.44
3201; 544916;15.642;14.652;      ;11.741; 493.96; 493.65;4733;-1.432; 0.143; 0.385; 0.005; ;-0.196; 0.072;10 17 35.862;-46 25 20.98
3201; 545094;16.371;15.446;      ;12.703; 495.38;       ;4905;-1.567; 0.098;      ; 9.999; ;-0.297; 0.199;10 17 39.130;-46 25 19.53
3201; 545181;16.001;15.051;      ;12.166; 491.25;       ;4809;-1.496; 0.222;      ; 9.999; ;-0.247; 0.047;10 17 25.998;-46 25 18.17
3201; 545428;15.525;14.455;      ;11.288; 492.06; 492.06;4652;-1.484; 0.159; 0.098; 0.018; ; 0.091; 0.063;10 17 48.980;-46 25 16.57
3201; 546096;15.251;14.205;      ;11.168; 494.50; 494.36;4630;-1.568; 0.112; 0.286; 0.091; ;-0.063; 0.060;10 17 32.089;-46 25 09.92
3201; 547369;14.994;13.892;      ;10.668; 491.01; 490.88;4541;-1.431; 0.173; 0.196; 0.079; ; 0.006; 0.018;10 17 49.066;-46 24 58.58
3201; 547469;16.566;15.681;      ;12.982;       ; 489.96;4955;-1.525; 0.148; 0.300; 9.999;<; 0.142; 0.065;10 17 32.968;-46 24 57.20
3201; 547747;17.408;16.599;      ;14.052; 492.25;       ;5146;-1.485; 0.012;      ; 9.999; ;-0.056; 0.113;10 17 08.245;-46 24 53.33
3201; 547791;16.610;15.702;      ;12.995;       ; 494.15;4957;-1.512; 0.145; 0.213; 9.999;<; 0.330; 9.999;10 17 39.281;-46 24 54.51
3201; 547858;16.214;15.328;      ;12.402; 485.90;       ;4851;-1.515; 0.150;      ; 9.999; ; 0.319; 0.032;10 17 39.741;-46 24 53.84
3201; 548134;15.550;14.557;      ;11.576; 498.84; 499.12;4703;-1.512; 0.201;-0.246; 9.999; ; 0.635; 0.111;10 17 31.477;-46 24 50.87
3201; 548152;14.209;12.911;      ; 9.385;       ; 499.53;4311;-1.507; 0.178; 0.196; 0.035; ; 0.163; 0.026;10 17 26.431;-46 24 50.51
3201; 548223;17.509;16.649;      ;13.931;       ; 496.24;5124;-1.570; 0.107; 0.483; 9.999;<;      ; 9.999;10 18 06.469;-46 24 50.67
3201; 548280;16.271;15.286;      ;12.309; 496.90; 496.98;4834;-1.509; 0.170;-0.002; 9.999; ; 0.058; 0.087;10 17 51.315;-46 24 50.16
3201; 548642;14.923;13.855;      ;10.777;       ; 496.20;4560;-1.529; 0.228; 0.308; 9.999; ;-0.111; 9.999;10 17 14.030;-46 24 45.31
3201; 548860;14.808;13.657;      ;10.418; 498.71;       ;4496;-1.405; 0.106;      ; 9.999; ;-0.129; 0.065;10 17 40.754;-46 24 44.82
3201; 549015;16.309;15.389;      ;12.505; 500.22;       ;4869;-1.449; 0.100;      ; 9.999; ; 0.346; 0.052;10 18 11.557;-46 24 43.73
3201; 549551;14.910;13.783;      ;10.648;       ; 487.91;4537;-1.581; 0.112; 0.075; 9.999; ; 0.416; 0.019;10 17 43.302;-46 24 38.86
3201; 549771;16.211;15.263;      ;12.378; 498.33;       ;4847;-1.515; 0.157;      ; 9.999; ; 0.273; 0.022;10 17 50.463;-46 24 36.95
3201; 549944;15.157;14.058;      ;10.903; 491.08; 491.14;4583;-1.479; 0.127; 0.242; 9.999; ;-0.076; 0.032;10 17 31.491;-46 24 34.64
3201; 550011;15.990;15.058;      ;12.237;       ; 495.26;4821;-1.434; 0.117;-0.015; 0.153;<;-0.054; 9.999;10 17 07.411;-46 24 32.72
3201; 550084;16.191;15.210;      ;12.272; 492.78; 492.49;4828;-1.495; 0.142; 0.528; 0.079;<;-0.269; 0.059;10 17 19.303;-46 24 32.68
3201; 550283;17.131;16.285;      ;13.645; 499.82; 499.40;5073;-1.470; 0.137; 0.338; 9.999;<;-0.230; 0.016;10 18 30.357;-46 24 31.55
3201; 550664;15.691;14.721;      ;11.860; 493.40;       ;4754;-1.495; 0.153;      ; 9.999; ; 0.073; 9.999;10 17 42.457;-46 24 28.31
3201; 550719;16.359;15.418;      ;12.731;       ; 492.97;4910;-1.547; 0.116;-0.351; 9.999;<; 0.930; 9.999;10 17 41.537;-46 24 27.75
3201; 550783;15.005;13.912;      ;10.827; 497.45; 497.39;4569;-1.506; 0.170; 0.335; 0.098; ; 0.264; 0.131;10 17 45.289;-46 24 27.29
3201; 551068;15.654;14.671;      ;11.851; 496.39; 496.64;4752;-1.523; 0.222;-0.086; 9.999;<; 0.057; 0.089;10 17 32.092;-46 24 24.46
3201; 551267;16.793;15.952;      ;13.314;       ; 493.25;5014;-1.439; 0.178; 0.390; 0.082; ; 0.164; 0.058;10 16 54.440;-46 24 20.77
3201; 552176;14.261;13.055;      ; 9.679;       ; 497.78;4364;-1.509; 0.172;-0.343; 9.999; ; 0.489; 0.018;10 17 34.107;-46 24 14.88
3201; 551929;16.571;15.614;      ;12.716; 498.70;       ;4907;-1.464; 0.140;      ; 9.999; ;-0.255; 0.007;10 18 18.568;-46 24 17.13
3201; 553110;17.064;16.178;      ;13.415; 502.68; 502.82;5032;-1.490; 0.130; 0.061; 9.999;<; 0.401; 0.090;10 17 31.151;-46 24 05.99
3201; 553502;15.135;14.084;      ;11.033; 496.43; 496.16;4606;-1.454; 0.147;-0.345; 9.999; ; 0.611; 0.016;10 17 36.037;-46 24 02.70
3201; 553560;14.219;13.015;      ; 9.702; 496.84;       ;4368;-1.573; 0.133;      ; 9.999; ;-0.116; 0.041;10 17 38.904;-46 24 02.28
3201; 553698;15.611;14.672;      ;11.900;       ; 500.37;4761;-1.562; 0.085; 0.238; 9.999; ;-0.122; 9.999;10 17 37.438;-46 24 00.82
3201; 554293;16.508;15.523;      ;12.563;       ; 499.92;4880;-1.561; 0.141; 0.429; 0.093; ; 0.187; 9.999;10 17 50.566;-46 23 55.45
3201; 555369;15.656;14.706;      ;11.866; 493.13; 492.92;4755;-1.494; 0.134;-0.376; 9.999;<; 0.378; 0.051;10 17 04.547;-46 23 43.37
3201; 555512;14.565;13.378;      ;10.089;       ; 499.97;4437;-1.440; 0.103; 0.079; 0.141; ; 0.387; 0.057;10 17 41.001;-46 23 43.72
3201; 555601;17.427;16.513;      ;13.762; 499.74; 498.67;5094;-1.441; 0.169; 0.399; 9.999;<;      ; 9.999;10 17 24.017;-46 23 42.06
3201; 555643;15.662;14.631;      ;11.658;       ; 496.46;4718;-1.454; 0.207;-0.239; 9.999; ; 0.337; 9.999;10 17 43.576;-46 23 42.50
3201; 555784;15.743;14.704;      ;11.761; 496.92; 496.62;4736;-1.461; 0.188;-0.784; 9.999;<; 0.518; 0.093;10 17 38.454;-46 23 40.79
3201; 555944;16.530;15.587;      ;12.740; 486.75; 486.75;4911;-1.397; 0.074; 0.191; 9.999; ; 0.016; 0.169;10 17 33.919;-46 23 38.99
3201; 555993;15.677;14.665;      ;11.674; 498.72;       ;4721;-1.471; 0.097;      ; 9.999; ;-0.046; 0.055;10 17 48.554;-46 23 39.02
3201; 556574;16.107;15.118;      ;12.244; 499.02;       ;4823;-1.515; 0.102;      ; 9.999; ; 0.104; 0.003;10 17 42.608;-46 23 32.69
3201; 557046;15.621;14.586;      ;11.590; 494.68;       ;4706;-1.507; 0.130;      ; 9.999; ; 0.440; 0.082;10 17 45.825;-46 23 27.35
3201; 557181;14.478;13.278;      ; 9.934; 496.26;       ;4410;-1.511; 0.114;      ; 9.999; ; 0.135; 0.016;10 17 38.632;-46 23 25.62
3201; 557396;15.823;14.777;      ;11.725; 490.39; 490.39;4730;-1.474; 0.209; 0.076; 9.999; ; 0.016; 0.079;10 17 23.190;-46 23 22.05
3201; 557435;16.922;16.055;      ;13.435;       ; 491.46;5036;-1.511; 0.190; 0.415; 9.999;<;      ; 9.999;10 17 04.427;-46 23 20.61
3201; 557671;17.039;16.187;      ;13.637; 495.04;       ;5072;-1.435; 0.155;      ; 9.999; ; 0.253; 0.129;10 17 01.941;-46 23 17.23
3201; 557810;16.557;15.636;      ;12.766; 499.18;       ;4916;-1.448; 0.130;      ; 9.999; ; 0.315; 0.001;10 17 31.313;-46 23 16.91
3201; 558630;17.505;16.588;      ;14.011; 500.34; 500.61;5139;-1.445; 0.097; 0.563; 9.999;<;-0.094; 0.050;10 18 10.465;-46 23 08.85
3201; 558889;16.512;15.603;      ;12.875; 500.98; 501.24;4936;-1.468; 0.146; 0.287; 9.999;<;-0.285; 0.155;10 17 46.275;-46 23 05.94
3201; 559537;16.530;15.609;      ;12.867;       ; 494.57;4934;-1.523; 0.137; 0.233; 9.999;<; 0.140; 9.999;10 17 34.993;-46 22 57.95
3201; 559560;15.631;14.619;      ;11.743; 489.97; 489.95;4733;-1.514; 0.223; 0.183; 9.999; ;-0.035; 0.102;10 17 11.194;-46 22 56.24
3201; 559570;17.092;16.182;      ;13.370;       ; 496.29;5024;-1.429; 0.158;-0.079; 9.999;<; 0.222; 9.999;10 17 56.327;-46 22 57.77
3201; 559670;15.743;14.776;      ;11.803;       ; 497.44;4744;-1.572; 0.164; 0.104; 9.999; ; 0.328; 0.038;10 17 27.540;-46 22 55.57
3201; 560148;16.022;15.062;      ;12.194; 493.74;       ;4814;-1.540; 0.170;      ; 9.999; ;-0.114; 0.001;10 17 36.686;-46 22 49.16
3201; 560216;14.744;13.633;      ;10.415;       ; 493.37;4496;-1.502; 0.113;-0.075; 9.999; ; 0.474; 0.018;10 17 42.931;-46 22 48.28
3201; 560947;16.408;15.530;      ;12.784; 494.62;       ;4919;-1.525; 0.111;      ; 9.999; ; 0.359; 0.055;10 17 35.855;-46 22 37.69
3201; 561104;16.953;16.024;      ;13.097; 499.86;       ;4975;-1.516; 0.167;      ; 9.999; ;-0.032; 0.017;10 17 54.954;-46 22 35.93
3201; 561410;16.470;15.493;      ;12.560; 493.18; 493.06;4879;-1.539; 0.136; 0.023; 9.999;<; 0.264; 0.060;10 17 26.832;-46 22 30.69
3201; 561491;15.297;14.195;      ;10.950; 493.72;       ;4591;-1.499; 0.163;      ; 9.999; ; 0.572; 0.023;10 17 20.728;-46 22 29.34
3201; 562216;15.947;14.982;      ;12.119;       ; 492.23;4800;-1.519; 0.107;-0.123; 9.999;<; 0.415; 0.081;10 17 30.499;-46 22 20.06
3201; 562346;17.120;16.202;      ;13.360;       ; 497.77;5022;-1.509; 0.145; 0.454; 9.999; ;      ; 9.999;10 18 20.521;-46 22 18.95
3201; 562639;16.616;15.683;      ;12.735;       ; 495.49;4911;-1.514; 0.175; 0.204; 9.999;<; 0.381; 9.999;10 17 53.340;-46 22 15.28
3201; 563229;15.911;14.999;      ;12.326;       ; 496.45;4837;-1.439; 0.121; 0.178; 0.011; ; 0.411; 9.999;10 16 51.377;-46 22 04.47
3201; 563950;16.137;15.118;      ;12.000;       ; 489.14;4779;-1.579; 0.178; 0.017; 9.999;<; 0.032; 9.999;10 17 56.042;-46 21 56.20
3201; 563974;15.207;14.175;      ;11.163;       ; 495.39;4629;-1.595; 0.117; 0.384; 0.062; ; 0.017; 0.111;10 17 41.616;-46 21 55.61
3201; 564145;16.855;15.994;      ;13.293; 488.67;       ;5010;-1.486; 0.124;      ; 9.999; ; 0.385; 0.011;10 17 47.813;-46 21 53.18
3201; 564268;14.517;13.299;      ; 9.817; 493.49; 493.28;4389;-1.464; 0.135;-0.776; 9.999; ; 0.546; 0.134;10 18 15.800;-46 21 51.29
3201; 564315;15.129;14.063;      ;11.054; 488.03; 487.68;4610;-1.497; 0.145; 0.237; 9.999; ; 0.217; 0.047;10 17 32.593;-46 21 50.27
3201; 564380;16.088;15.160;      ;12.271; 493.49; 492.89;4828;-1.522; 0.161; 0.101; 9.999; ; 0.184; 0.065;10 17 36.875;-46 21 49.23
3201; 564511;15.847;14.911;      ;12.103;       ; 494.84;4797;-1.517; 0.098; 0.400; 9.999; ;-0.261; 9.999;10 17 44.956;-46 21 47.39
3201; 564614;15.663;14.667;      ;11.692; 506.63; 502.59;4724;-1.477; 0.132; 0.168; 0.084; ;-0.166; 0.189;10 17 29.527;-46 21 45.46
3201; 564690;15.794;14.871;      ;12.042; 492.72;       ;4787;-1.466; 0.131;      ; 9.999; ; 0.335; 0.015;10 17 34.852;-46 21 44.61
3201; 565187;16.617;15.699;      ;12.903;       ; 485.80;4941;-1.526; 0.126; 0.285; 9.999; ; 0.245; 9.999;10 17 25.775;-46 21 36.66
3201; 565325;16.625;15.662;      ;12.780; 490.32;       ;4919;-1.462; 0.082;      ; 9.999; ;-0.006; 0.214;10 17 16.794;-46 21 34.08
3201; 566854;16.203;15.285;      ;12.424;       ; 495.23;4855;-1.613; 0.132; 0.092; 9.999;<; 0.225; 9.999;10 17 54.240;-46 21 10.29
3201; 567244;16.605;15.733;      ;13.039; 493.97;       ;4965;-1.435; 0.114;      ; 9.999; ; 0.386; 0.157;10 17 51.785;-46 21 02.40
3201; 567782;17.558;16.667;      ;13.974;       ; 498.14;5132;-1.471; 0.146; 0.409; 9.999;<;      ; 9.999;10 18 20.806;-46 20 52.39
3201; 569026;15.698;14.747;      ;11.976; 495.39;       ;4775;-1.503; 0.107;      ; 9.999; ;-0.024; 0.023;10 17 37.911;-46 20 28.08
3201; 569243;16.245;15.363;      ;12.620; 493.78; 493.26;4890;-1.508; 0.177; 0.191; 9.999;<;-0.224; 0.102;10 17 41.564;-46 20 24.03
3201; 569618;14.775;13.691;      ;10.608;       ; 492.31;4530;-1.406; 0.185; 0.155; 0.062; ; 0.051; 0.026;10 17 37.307;-46 20 15.50
3201; 569930;14.956;13.834;      ;10.607; 490.68; 490.75;4530;-1.544; 0.189;-0.584; 9.999;<; 0.612; 0.141;10 17 20.635;-46 20 07.86
3201; 570173;16.576;15.643;      ;12.806; 499.03; 498.34;4923;-1.440; 0.198; 0.310; 9.999; ;-0.211; 0.114;10 18 18.760;-46 20 03.65
3201; 570224;16.087;15.189;      ;12.490;       ; 496.11;4867;-1.554; 0.147; 0.038; 9.999; ; 0.356; 0.050;10 17 35.800;-46 20 02.26
3201; 570452;16.873;15.945;      ;13.157; 493.04; 492.38;4986;-1.432; 0.174; 0.120; 9.999; ; 0.181; 0.175;10 17 22.366;-46 19 56.40
3201; 570931;15.967;15.055;      ;12.297; 491.62; 491.70;4832;-1.472; 0.118;-0.124; 9.999; ; 0.206; 0.049;10 17 47.421;-46 19 46.43
3201; 570991;17.569;16.739;      ;14.101; 491.22; 491.96;5155;-1.459; 0.177; 0.335; 9.999;<; 0.382; 0.076;10 17 30.149;-46 19 44.34
3201; 571026;17.211;16.320;      ;13.634; 498.28; 497.39;5071;-1.430; 0.184; 0.074; 9.999;<; 0.616; 0.059;10 17 25.782;-46 19 43.60
3201; 571100;15.691;14.664;      ;11.692; 497.69; 497.36;4724;-1.457; 0.131; 0.089; 9.999;<;-0.061; 0.042;10 18 13.562;-46 19 42.49
3201; 571991;15.619;14.621;      ;11.713;       ; 493.36;4728;-1.507; 0.133; 0.012; 9.999; ; 0.244; 9.999;10 18 08.340;-46 19 20.18
3201; 572353;16.451;15.611;      ;13.110; 494.37;       ;4978;-1.434; 0.102;      ; 9.999; ;-0.123; 0.158;10 17 05.206;-46 19 08.47
3201; 572801;16.092;15.189;      ;12.389; 498.31; 497.58;4849;-1.589; 0.116; 0.132; 9.999; ;-0.113; 0.016;10 17 48.568;-46 18 58.18
3201; 575315;16.858;16.032;      ;13.322;       ; 496.64;5015;-1.568; 0.089; 0.106; 9.999; ;      ; 9.999;10 17 33.472;-46 17 39.25
3201; 575516;16.353;15.486;      ;12.910; 491.74; 491.61;4942;-1.517; 0.128; 0.030; 9.999; ; 0.117; 0.080;10 17 34.482;-46 17 32.16
3201; 577898;17.239;16.411;      ;13.925; 496.21;       ;5123;-1.469; 0.094;      ; 9.999; ;-0.035; 0.040;10 17 41.276;-46 16 01.43
4590;   3126;18.224;17.549;      ;15.643; -82.60; -94.46;5328;-2.385; 0.222;      ; 9.999; ; 0.586; 9.999;12 38 50.832;-26 48 46.87
4590;   3416;17.742;17.035;      ;14.927; -91.65; -93.24;5222;-2.174; 0.131;      ; 9.999; ; 0.159; 0.057;12 39 06.081;-26 45 54.00
4590;   3437;17.797;17.099;      ;15.027; -88.27; -91.15;5236;-2.115; 0.103;      ; 9.999;<; 0.176; 9.999;12 38 57.960;-26 45 39.61
4590;   3518;17.760;17.066;      ;14.961; -96.06; -95.95;5229;-2.065; 0.119;      ; 9.999;<;      ; 9.999;12 39 04.900;-26 45 01.35
4590;   3584;15.321;14.408;      ;11.893; -93.28;       ;4684;-2.297; 0.081;      ; 9.999; ; 0.546; 0.125;12 39 07.215;-26 44 33.22
4590;   3742;17.348;16.652;      ;14.567; -90.75; -92.35;5144;-2.226; 0.174;      ; 9.999;<; 0.543; 0.177;12 38 59.171;-26 43 16.90
4590;   3795;17.909;17.248;      ;15.130; -92.95; -94.60;5266;-2.191; 0.163;      ; 9.999; ;      ; 9.999;12 39 06.834;-26 42 46.73
4590;   4008;17.525;16.850;      ;14.759; -95.03;       ;5185;-2.328; 0.126;      ; 9.999; ; 0.437; 0.045;12 39 08.017;-26 40 05.91
4590;   4166;18.024;17.331;      ;15.189; -94.34; -95.35;5283;-2.225; 0.234;      ; 9.999;<;      ; 9.999;12 39 42.498;-26 54 12.88
4590;   4243;18.161;17.495;      ;15.761; -97.84; -97.71;5317;-2.188; 0.190;      ; 9.999; ;      ; 9.999;12 39 28.144;-26 53 01.40
4590;   4289;16.447;15.641;      ;13.460; -96.48; -96.95;4937;-2.222; 0.157; 0.556; 9.999; ; 0.539; 0.045;12 39 33.413;-26 52 22.03
4590;   4341;17.676;16.953;      ;15.009; -92.14; -93.42;5206;-2.118; 0.184;      ; 9.999; ;      ; 9.999;12 39 23.467;-26 51 52.21
4590;   4380;17.509;16.802;      ;14.530; -92.14; -94.84;5175;-2.099; 0.131;      ; 9.999; ;      ; 9.999;12 39 26.739;-26 51 35.73
4590;   4384;17.502;16.765;      ;14.764; -92.98; -92.82;5167;-2.292; 0.062;      ; 9.999; ; 0.553; 0.199;12 39 38.704;-26 51 34.70
4590;   4455;17.766;17.047;      ;15.236; -92.22; -93.43;5225;-2.097; 0.077;      ; 9.999;<;      ; 9.999;12 39 29.097;-26 50 59.40
4590;   4479;16.680;15.903;      ;13.682; -95.02; -96.19;4990;-2.242; 0.132; 0.513; 9.999; ; 0.260; 0.009;12 39 45.910;-26 50 51.89
4590;   4844;16.940;16.173;      ;14.036; -95.91; -97.21;5046;-2.105; 0.122; 0.684; 9.999; ;-0.136; 0.026;12 39 37.781;-26 49 10.48
4590;   4845;17.642;16.914;      ;14.789; -93.69; -96.05;5198;-2.342; 0.044;      ; 9.999; ;      ; 9.999;12 39 39.308;-26 49 10.00
4590;   4906;15.576;14.679;      ;12.245; -93.53;       ;4740;-2.243; 0.068;      ; 9.999; ; 0.348; 0.129;12 39 44.566;-26 48 58.90
4590;   5199;16.013;15.152;      ;12.759; -88.10; -89.84;4837;-2.146; 0.155; 0.464; 9.999;<;-0.052; 0.101;12 39 21.538;-26 48 17.40
4590;   5207;17.461;16.732;      ;14.612; -91.75; -92.63;5160;-2.248; 0.165;      ; 9.999; ; 0.220; 9.999;12 39 20.196;-26 48 16.02
4590;   5388;16.133;15.296;      ;12.961; -91.08; -92.56;4866;-2.262; 0.117; 0.494; 9.999; ; 0.400; 0.007;12 39 32.068;-26 47 53.52
4590;   5396;16.795;16.017;      ;13.794; -93.93; -95.59;5014;-2.206; 0.164; 0.389; 9.999;<; 0.245; 0.076;12 39 35.546;-26 47 52.98
4590;   5460;17.036;16.283;      ;14.146; -90.81; -92.76;5068;-2.248; 0.098; 0.584; 9.999;<;      ; 9.999;12 39 23.448;-26 47 48.28
4590;   5478;14.801;13.741;      ;11.063; -98.71; -99.64;4547;-2.189; 0.069; 0.389; 0.005; ;      ; 9.999;12 39 16.236;-26 47 46.87
4590;   5570;16.043;15.189;      ;12.912; -91.61; -93.25;4844;-2.259; 0.133; 0.238; 9.999;<; 0.310; 0.066;12 39 40.218;-26 47 37.43
4590;   5673;17.579;16.864;      ;14.539; -90.75; -91.01;5187;-2.162; 0.257;      ; 9.999; ; 0.270; 0.076;12 39 26.887;-26 47 29.28
4590;   6146;17.596;16.885;      ;14.621; -90.40; -93.52;5192;-2.294; 0.096;      ; 9.999; ;      ; 9.999;12 39 23.794;-26 46 56.65
4590;   6150;17.046;16.305;      ;14.184; -91.97; -94.48;5073;-2.280; 0.129;      ; 9.999; ; 0.279; 0.126;12 39 30.085;-26 46 56.38
4590;   6449;15.581;14.684;      ;12.203; -96.13;       ;4741;-2.332; 0.114;      ; 9.999; ;-0.078; 0.089;12 39 18.231;-26 46 40.46
4590;   6513;17.166;16.443;      ;14.214; -90.75; -90.00;5101;-2.232; 0.184;      ; 9.999;<;      ; 9.999;12 39 27.776;-26 46 36.54
4590;   6809;18.105;17.425;      ;15.563; -86.93; -90.29;5302;-2.167; 0.171;      ; 9.999; ; 0.489; 0.005;12 39 30.592;-26 46 23.43
4590;   6854;17.016;16.279;      ;14.040; -89.01; -90.75;5067;-2.169; 0.172;      ; 9.999; ; 0.613; 9.999;12 39 33.315;-26 46 21.42
4590;   6891;16.438;15.639;      ;13.325; -90.03; -91.99;4936;-2.157; 0.141; 0.387; 9.999; ; 0.439; 0.112;12 39 44.442;-26 46 19.47
4590;   6981;16.972;16.222;      ;14.073; -92.81; -94.85;5056;-2.220; 0.163; 0.646; 9.999;<; 0.224; 0.159;12 39 17.607;-26 46 16.10
4590;   7183;15.404;14.481;      ;11.963; -91.93; -92.70;4699;-2.305; 0.126; 0.361; 9.999; ; 0.170; 0.022;12 39 24.827;-26 46 08.71
4590;   7185;17.101;16.365;      ;14.207; -89.16; -89.48;5085;-2.302; 0.118;      ; 9.999;<; 0.145; 0.137;12 39 21.735;-26 46 08.67
4590;   7337;16.244;15.433;      ;13.040; -89.79; -91.29;4894;-2.173; 0.204; 0.761; 9.999; ;-0.349; 9.999;12 39 29.938;-26 46 03.34
4590;   7422;15.888;15.040;      ;12.632; -96.03; -97.31;4814;-2.251; 0.125; 0.106; 0.119;<; 0.399; 0.059;12 39 30.960;-26 46 00.58
4590;   7448;16.780;16.031;      ;13.879; -91.68; -92.75;5017;-2.213; 0.131; 0.533; 9.999;<; 0.275; 0.005;12 39 13.277;-26 45 59.86
4590;   7852;16.022;15.192;      ;12.806; -89.65; -91.01;4845;-2.273; 0.105; 0.244; 0.157;<; 0.398; 0.034;12 39 27.058;-26 45 47.28
