#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-04-08T07:26:35 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ516270c82505	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/465/815&tab:{J/A+A/465/815/tablea}&key:source=J/A+A/465/815/tablea&HTTPPRM:&-ref=VIZ516270c82505&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/A+A/465/815/tablea
#-order=I
#-out=Star
#-out=Ion
#-out=Lambda
#-out=loggf
#-out=r_loggf
#-out=EW
#-out=Abund
#

#RESOURCE=yCat_34650815
#Name: J/A+A/465/815
#Title: Abundances of Sgr dSph stars (Sbordone+, 2007)
#Table	J_A_A_465_815_tablea:
#Name: J/A+A/465/815/tablea
#Title: Equivalent widths and abundances
#Column	Star	(I4)	Star number (G1)	[ucd=meta.id;meta.main]
#Column	Ion	(A4)	Ion name	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F8.4)	Line laboratory wavelength (2)	[ucd=em.wl;spect.line]
#Column	loggf	(F6.3)	line oscillator strength	[ucd=spect.line.intensity]
#Column	r_loggf	(A4)	References for employed loggf	[ucd=meta.ref;pos.frame]
#Column	EW	(F5.2)	? Equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Abund	(F5.2)	? Abundance	[ucd=phys.abund]
Star;Ion;Lambda;loggf;r_loggf;EW;Abund
 656;NdII;508.9832;-1.160;MC' ;     ;
 656;NdII;529.3162; 0.100;HA  ; 7.60; 1.54
 656;NdII;543.1515;-0.470;HA  ; 2.24; 1.28
 656;NdII;548.5695;-0.120;HA  ; 3.79; 1.46
 709;OI  ;630.0304;-9.717;STZ ; 0.01; 8.50
 709;NaI ;568.2633;-0.700;KP  ;11.23; 6.06
 709;NaI ;615.4227;-1.560;KP  ;     ;
 709;NaI ;616.0747;-1.260;KP  ; 6.07; 5.74
 709;MgI ;552.8405;-0.552;GC  ;21.53; 7.17
 709;MgI ;571.1087;-1.729;GC  ;10.66; 7.05
 709;MgI ;631.8716;-1.945;GC  ; 5.95; 7.39
 709;MgI ;631.9237;-2.165;GC  ; 3.61; 7.22
 709;AlI ;669.8673;-1.647;NBS ;     ;
 709;SiI ;577.2147;-1.750;GARZ; 4.82; 7.27
 709;SiI ;594.8541;-1.230;GARZ; 8.84; 7.49
 709;SiI ;612.5021;-1.540;ED  ; 2.29; 7.12
 709;SiI ;614.2482;-1.480;ED  ; 4.34; 7.52
 709;SiI ;614.5015;-1.430;ED  ; 3.79; 7.36
 709;SiI ;615.5134;-0.770;ED  ; 7.87; 7.48
 709;CaI ;551.2980;-0.447;SR  ;10.47; 6.07
 709;CaI ;560.1277;-0.523;SR  ;     ;
 709;CaI ;585.7451; 0.240;SR  ;     ;
 709;CaI ;586.7562;-1.490;GC  ; 4.68; 5.98
 709;CaI ;612.2217;-0.315;NIST;19.51; 6.08
 709;CaI ;615.6022;-2.180;NIST;     ;
 709;CaI ;616.1296;-1.266;SR  ;10.46; 6.37
 709;CaI ;616.2174; 0.100;NBS ;     ;
 709;CaI ;616.6438;-1.142;SR  ;10.29; 6.20
 709;CaI ;616.9042;-0.797;SR  ;12.11; 6.25
 709;CaI ;616.9562;-0.270;NBS ;     ;
 709;CaI ;643.9075; 0.390;SR  ;18.91; 6.14
 709;CaI ;645.5597;-1.290;SR  ; 8.02; 5.86
 709;CaI ;649.3781;-0.109;SR  ;     ;
 709;CaI ;649.9650;-0.818;SR  ;12.82; 6.37
 709;CaI ;650.8850;-2.110;NBS ;     ;
 709;CaI ;679.8479;-2.320;K88 ; 2.28; 6.01
 709;ScII;552.6790; 0.130;MFW ; 9.97; 2.72
 709;ScII;632.0852;-1.770;NBS ;     ;
 709;TiI ;488.5078; 0.358;MFW ;     ;
 709;TiI ;491.5229;-1.019;MFW ; 3.13; 4.56
 709;TiI ;499.7097;-2.118;MFW ; 7.85; 4.20
 709;TiI ;508.7058;-0.780;MFW ; 8.29; 4.78
 709;TiI ;586.6450;-0.840;MFW ;10.26; 4.65
 709;TiI ;612.6215;-1.425;MFW ; 8.17; 4.75
 709;VI  ;573.7059;-0.740;MFW ; 4.87; 3.49
 709;VI  ;613.5361;-0.746;MFW ; 3.92; 3.28
 709;VI  ;615.0157;-1.780;MFW ; 5.68; 3.64
 709;CrII;488.4607;-2.080;MFW ; 4.14; 5.64
 709;MnI ;511.7900;-1.140;MFW ; 0.02; 5.03
 709;FeI ;489.2859;-1.290;FMW ; 7.84; 7.49
 709;FeI ;506.7151;-0.970;FMW ; 9.52; 7.56
 709;FeI ;510.4438;-1.690;FMW ; 6.28; 7.56
 709;FeI ;510.9652;-0.980;FMW ;10.01; 7.67
 709;FeI ;552.5545;-1.330;FMW ; 7.43; 7.35
 709;FeI ;585.5076;-1.760;FMW ; 5.02; 7.70
 709;FeI ;585.6087;-1.640;FMW ; 6.61; 7.54
 709;FeI ;585.8779;-2.260;FMW ;     ;
 709;FeI ;586.1109;-2.450;FMW ; 2.84; 7.54
 709;FeI ;587.7794;-2.230;FMW ; 4.44; 7.53
 709;FeI ;588.3817;-1.360;FMW ; 8.85; 7.36
 709;FeI ;615.1616;-3.299;FMW ;     ;
 709;FeI ;616.5360;-1.550;FMW ; 6.64; 7.25
 709;FeI ;618.7990;-1.720;FMW ; 8.42; 7.56
 709;FeI ;649.6465;-0.570;FMW ; 9.40; 7.61
 709;FeI ;670.3565;-3.160;FMW ;     ;
 709;FeII;483.3197;-4.780;FMW ; 3.50; 7.72
 709;FeII;492.3927;-1.320;FMW ;     ;
 709;FeII;499.3358;-3.650;FMW ; 7.35; 7.72
 709;FeII;510.0664;-4.370;FMW ; 3.41; 7.47
 709;FeII;513.2669;-4.180;FMW ; 3.81; 7.38
 709;FeII;516.1184;-4.483;K88 ;     ;
 709;FeII;525.6937;-4.250;K88 ; 3.73; 7.53
 709;FeII;526.4812;-3.190;FMW ; 7.16; 7.68
 709;FeII;614.9259;-2.724;K88 ; 5.67; 7.65
 709;CoI ;533.1700;-6.473;K88 ; 0.02; 4.14
 709;CoI ;553.0700;-2.060;FMW ; 0.02; 4.18
 709;NiI ;585.7747;-0.636;K88 ;     ;
 709;NiI ;612.8963;-3.330;FMW ; 5.60; 5.65
 709;NiI ;613.0130;-0.960;FMW ; 2.60; 5.80
 709;NiI ;617.5360;-0.530;FMW ; 6.47; 5.99
 709;NiI ;617.6807;-0.260;LW  ; 7.99; 6.06
 709;NiI ;617.7236;-3.500;FMW ; 3.71; 5.65
 709;CuI ;510.5500;-1.516;BIEL; 0.02; 3.43
 709;ZnI ;481.0528;-0.170;BG  ; 6.50; 3.91
 709;YII ;488.3683; 0.070;HL  ;     ;
 709;YII ;498.2130;-1.290;HL  ; 4.43; 2.05
 709;YII ;508.7417;-0.170;HL  ; 8.65; 2.08
 709;YII ;511.9113;-1.360;HL  ; 4.69; 2.13
 709;BaII;649.6896;-0.377;NBS ;22.13; 2.85
 709;LaII;480.4039;-1.490;LA  ; 6.82; 2.28
 709;LaII;511.4558;-1.030;LA  ;     ;
 709;LaII;632.0377;-1.610;ABH ; 6.73; 2.03
 709;CeII;518.7457; 0.130;H   ; 5.34; 2.12
 709;CeII;533.0556;-0.360;H   ; 4.74; 2.02
 709;CeII;546.8372; 0.140;H   ; 3.51; 1.87
 709;CeII;604.3374;-0.430;H   ; 3.21; 2.44
 709;NdII;491.4382;-0.700;HA  ; 7.53; 2.33
 709;NdII;495.9119;-0.800;HA  ;     ;
 709;NdII;496.1387;-0.710;MC' ; 5.69; 2.10
 709;NdII;508.9832;-1.160;MC' ; 5.13; 1.86
 709;NdII;529.3162; 0.100;HA  ;     ;
 709;NdII;543.1515;-0.470;HA  ; 3.85; 1.96
 709;NdII;548.5695;-0.120;HA  ; 4.42; 1.91
 716;OI  ;630.0304;-9.717;STZ ; 0.01; 8.54
 716;NaI ;568.2633;-0.700;KP  ;11.18; 5.94
 716;NaI ;615.4227;-1.560;KP  ; 2.47; 5.44
 716;NaI ;616.0747;-1.260;KP  ; 5.77; 5.69
 716;MgI ;552.8405;-0.552;GC  ;21.90; 7.14
 716;MgI ;571.1087;-1.729;GC  ;11.76; 7.10
 716;MgI ;631.8716;-1.945;GC  ; 4.53; 7.14
 716;MgI ;631.9237;-2.165;GC  ;     ;
 716;AlI ;669.8673;-1.647;NBS ; 1.90; 5.60
 716;SiI ;577.2147;-1.750;GARZ;     ;
 716;SiI ;594.8541;-1.230;GARZ;10.26; 7.56
 716;SiI ;612.5021;-1.540;ED  ; 4.03; 7.44
 716;SiI ;614.2482;-1.480;ED  ; 3.31; 7.24
 716;SiI ;614.5015;-1.430;ED  ; 5.14; 7.53
 716;SiI ;615.5134;-0.770;ED  ; 7.01; 7.19
 716;CaI ;551.2980;-0.447;SR  ;11.31; 6.05
 716;CaI ;560.1277;-0.523;SR  ;     ;
 716;CaI ;585.7451; 0.240;SR  ;15.84; 6.09
 716;CaI ;586.7562;-1.490;GC  ;     ;
 716;CaI ;612.2217;-0.315;NIST;22.15; 6.22
 716;CaI ;615.6022;-2.180;NIST;     ;
 716;CaI ;616.1296;-1.266;SR  ; 9.85; 6.07
 716;CaI ;616.2174; 0.100;NBS ;     ;
 716;CaI ;616.6438;-1.142;SR  ; 9.91; 5.95
 716;CaI ;616.9042;-0.797;SR  ;11.75; 5.94
 716;CaI ;616.9562;-0.270;NBS ;     ;
 716;CaI ;643.9075; 0.390;SR  ;19.22; 5.99
 716;CaI ;645.5597;-1.290;SR  ; 8.84; 5.89
 716;CaI ;649.3781;-0.109;SR  ;15.20; 5.83
 716;CaI ;649.9650;-0.818;SR  ;11.51; 5.87
 716;CaI ;650.8850;-2.110;NBS ; 3.29; 5.84
 716;CaI ;679.8479;-2.320;K88 ;     ;
 716;ScII;552.6790; 0.130;MFW ;10.74; 2.58
 716;ScII;632.0852;-1.770;NBS ;     ;
 716;TiI ;488.5078; 0.358;MFW ;     ;
 716;TiI ;491.5229;-1.019;MFW ;     ;
 716;TiI ;499.7097;-2.118;MFW ; 8.88; 4.28
 716;TiI ;508.7058;-0.780;MFW ; 5.84; 4.23
 716;TiI ;586.6450;-0.840;MFW ;10.61; 4.52
 716;TiI ;612.6215;-1.425;MFW ; 7.03; 4.48
 716;VI  ;573.7059;-0.740;MFW ; 5.28; 3.57
 716;VI  ;613.5361;-0.746;MFW ; 5.35; 3.52
 716;VI  ;615.0157;-1.780;MFW ; 4.57; 3.49
 716;CrII;488.4607;-2.080;MFW ; 5.53; 5.78
 716;MnI ;511.7900;-1.140;MFW ; 0.02; 4.94
 716;FeI ;489.2859;-1.290;FMW ; 8.67; 7.44
 716;FeI ;506.7151;-0.970;FMW ;     ;
 716;FeI ;510.4438;-1.690;FMW ; 7.28; 7.62
 716;FeI ;510.9652;-0.980;FMW ; 8.58; 7.16
 716;FeI ;552.5545;-1.330;FMW ; 8.83; 7.44
 716;FeI ;585.5076;-1.760;FMW ; 4.70; 7.56
 716;FeI ;585.6087;-1.640;FMW ; 7.65; 7.59
 716;FeI ;585.8779;-2.260;FMW ; 2.89; 7.27
 716;FeI ;586.1109;-2.450;FMW ; 1.60; 7.20
 716;FeI ;587.7794;-2.230;FMW ; 3.73; 7.35
 716;FeI ;588.3817;-1.360;FMW ;10.38; 7.42
 716;FeI ;615.1616;-3.299;FMW ;10.86; 7.16
 716;FeI ;616.5360;-1.550;FMW ;     ;
 716;FeI ;618.7990;-1.720;FMW ; 8.21; 7.31
 716;FeI ;649.6465;-0.570;FMW ; 8.50; 7.22
 716;FeI ;670.3565;-3.160;FMW ; 7.80; 7.16
 716;FeII;483.3197;-4.780;FMW ;     ;
 716;FeII;492.3927;-1.320;FMW ;     ;
 716;FeII;499.3358;-3.650;FMW ; 7.14; 7.39
 716;FeII;510.0664;-4.370;FMW ; 4.64; 7.59
 716;FeII;513.2669;-4.180;FMW ; 4.64; 7.40
 716;FeII;516.1184;-4.483;K88 ;     ;
 716;FeII;525.6937;-4.250;K88 ;     ;
 716;FeII;526.4812;-3.190;FMW ; 6.25; 7.22
 716;FeII;614.9259;-2.724;K88 ;     ;
 716;CoI ;533.1700;-6.473;K88 ; 0.02; 4.25
 716;CoI ;553.0700;-2.060;FMW ; 0.02; 4.34
 716;NiI ;585.7747;-0.636;K88 ;     ;
 716;NiI ;612.8963;-3.330;FMW ; 6.49; 5.70
 716;NiI ;613.0130;-0.960;FMW ; 3.19; 5.88
 716;NiI ;617.5360;-0.530;FMW ; 5.63; 5.69
 716;NiI ;617.6807;-0.260;LW  ; 7.45; 5.75
 716;NiI ;617.7236;-3.500;FMW ; 3.24; 5.52
 716;CuI ;510.5500;-1.516;BIEL; 0.02; 3.17
 716;ZnI ;481.0528;-0.170;BG  ; 7.87; 3.99
 716;YII ;488.3683; 0.070;HL  ;10.34; 1.88
 716;YII ;498.2130;-1.290;HL  ; 4.79; 1.98
 716;YII ;508.7417;-0.170;HL  ;     ;
 716;YII ;511.9113;-1.360;HL  ; 4.84; 2.00
 716;BaII;649.6896;-0.377;NBS ;17.03; 2.11
 716;LaII;480.4039;-1.490;LA  ; 6.03; 1.78
 716;LaII;511.4558;-1.030;LA  ; 9.81; 2.11
 716;LaII;632.0377;-1.610;ABH ; 5.37; 1.56
 716;CeII;518.7457; 0.130;H   ;     ;
 716;CeII;533.0556;-0.360;H   ; 3.94; 1.71
 716;CeII;546.8372; 0.140;H   ; 4.49; 1.94
 716;CeII;604.3374;-0.430;H   ; 3.30; 2.01
 716;NdII;491.4382;-0.700;HA  ; 7.01; 1.83
 716;NdII;495.9119;-0.800;HA  ;     ;
 716;NdII;496.1387;-0.710;MC' ; 7.19; 2.18
 716;NdII;508.9832;-1.160;MC' ; 4.15; 1.50
 716;NdII;529.3162; 0.100;HA  ;     ;
 716;NdII;543.1515;-0.470;HA  ; 2.68; 1.57
 716;NdII;548.5695;-0.120;HA  ; 5.15; 1.89
 717;OI  ;630.0304;-9.717;STZ ; 0.01; 8.49
 717;NaI ;568.2633;-0.700;KP  ;10.30; 5.99
 717;NaI ;615.4227;-1.560;KP  ; 2.95; 5.57
 717;NaI ;616.0747;-1.260;KP  ; 4.45; 5.54
 717;MgI ;552.8405;-0.552;GC  ;     ;
 717;MgI ;571.1087;-1.729;GC  ;12.42; 7.40
 717;MgI ;631.8716;-1.945;GC  ; 5.34; 7.32
 717;MgI ;631.9237;-2.165;GC  ; 3.78; 7.27
 717;AlI ;669.8673;-1.647;NBS ; 2.01; 5.66
 717;SiI ;577.2147;-1.750;GARZ;     ;
 717;SiI ;594.8541;-1.230;GARZ;10.14; 7.70
 717;SiI ;612.5021;-1.540;ED  ; 3.99; 7.46
 717;SiI ;614.2482;-1.480;ED  ; 3.64; 7.33
 717;SiI ;614.5015;-1.430;ED  ; 4.44; 7.44
 717;SiI ;615.5134;-0.770;ED  ; 8.88; 7.63
 717;CaI ;551.2980;-0.447;SR  ;11.47; 6.37
 717;CaI ;560.1277;-0.523;SR  ;     ;
 717;CaI ;585.7451; 0.240;SR  ;16.28; 6.41
 717;CaI ;586.7562;-1.490;GC  ; 4.19; 5.96
 717;CaI ;612.2217;-0.315;NIST;22.05; 6.45
 717;CaI ;615.6022;-2.180;NIST;     ;
 717;CaI ;616.1296;-1.266;SR  ;     ;
 717;CaI ;616.2174; 0.100;NBS ;     ;
 717;CaI ;616.6438;-1.142;SR  ;10.05; 6.27
 717;CaI ;616.9042;-0.797;SR  ;11.00; 6.14
 717;CaI ;616.9562;-0.270;NBS ;     ;
 717;CaI ;643.9075; 0.390;SR  ;     ;
 717;CaI ;645.5597;-1.290;SR  ; 7.95; 5.94
 717;CaI ;649.3781;-0.109;SR  ;14.65; 6.15
 717;CaI ;649.9650;-0.818;SR  ;11.51; 6.22
 717;CaI ;650.8850;-2.110;NBS ; 3.21; 5.87
 717;CaI ;679.8479;-2.320;K88 ;     ;
 717;ScII;552.6790; 0.130;MFW ;12.08; 3.12
 717;ScII;632.0852;-1.770;NBS ;     ;
 717;TiI ;488.5078; 0.358;MFW ;     ;
 717;TiI ;491.5229;-1.019;MFW ;     ;
 717;TiI ;499.7097;-2.118;MFW ;     ;
 717;TiI ;508.7058;-0.780;MFW ; 6.74; 4.57
 717;TiI ;586.6450;-0.840;MFW ; 7.41; 4.18
 717;TiI ;612.6215;-1.425;MFW ; 6.12; 4.48
 717;VI  ;573.7059;-0.740;MFW ; 2.72; 3.18
 717;VI  ;613.5361;-0.746;MFW ; 4.30; 3.44
 717;VI  ;615.0157;-1.780;MFW ; 4.41; 3.54
 717;CrII;488.4607;-2.080;MFW ; 5.38; 5.86
 717;MnI ;511.7900;-1.140;MFW ; 0.02; 4.91
 717;FeI ;489.2859;-1.290;FMW ; 7.21; 7.40
 717;FeI ;506.7151;-0.970;FMW ;     ;
 717;FeI ;510.4438;-1.690;FMW ; 6.32; 7.62
 717;FeI ;510.9652;-0.980;FMW ; 8.94; 7.52
 717;FeI ;552.5545;-1.330;FMW ; 7.41; 7.40
 717;FeI ;585.5076;-1.760;FMW ;     ;
 717;FeI ;585.6087;-1.640;FMW ; 5.86; 7.42
 717;FeI ;585.8779;-2.260;FMW ; 2.97; 7.32
 717;FeI ;586.1109;-2.450;FMW ; 2.85; 7.56
 717;FeI ;587.7794;-2.230;FMW ;     ;
 717;FeI ;588.3817;-1.360;FMW ; 9.18; 7.52
 717;FeI ;615.1616;-3.299;FMW ;     ;
 717;FeI ;616.5360;-1.550;FMW ; 7.64; 7.52
 717;FeI ;618.7990;-1.720;FMW ; 6.80; 7.25
 717;FeI ;649.6465;-0.570;FMW ; 8.07; 7.37
 717;FeI ;670.3565;-3.160;FMW ; 7.83; 7.38
 717;FeII;483.3197;-4.780;FMW ;     ;
 717;FeII;492.3927;-1.320;FMW ;     ;
 717;FeII;499.3358;-3.650;FMW ; 6.32; 7.37
 717;FeII;510.0664;-4.370;FMW ; 4.13; 7.52
 717;FeII;513.2669;-4.180;FMW ; 4.16; 7.34
 717;FeII;516.1184;-4.483;K88 ;     ;
 717;FeII;525.6937;-4.250;K88 ; 5.06; 7.74
 717;FeII;526.4812;-3.190;FMW ; 7.55; 7.66
 717;FeII;614.9259;-2.724;K88 ;     ;
 717;CoI ;533.1700;-6.473;K88 ; 0.02; 4.20
 717;CoI ;553.0700;-2.060;FMW ; 0.02; 4.20
 717;NiI ;585.7747;-0.636;K88 ;     ;
 717;NiI ;612.8963;-3.330;FMW ; 5.34; 5.62
 717;NiI ;613.0130;-0.960;FMW ; 2.34; 5.72
 717;NiI ;617.5360;-0.530;FMW ; 4.79; 5.64
 717;NiI ;617.6807;-0.260;LW  ; 7.26; 5.92
 717;NiI ;617.7236;-3.500;FMW ;     ;
 717;CuI ;510.5500;-1.516;BIEL; 0.02; 3.17
 717;ZnI ;481.0528;-0.170;BG  ; 7.73; 4.26
 717;YII ;488.3683; 0.070;HL  ;     ;
 717;YII ;498.2130;-1.290;HL  ; 3.57; 1.79
 717;YII ;508.7417;-0.170;HL  ; 8.86; 2.16
 717;YII ;511.9113;-1.360;HL  ; 4.20; 1.95
 717;BaII;649.6896;-0.377;NBS ;20.33; 2.74
 717;LaII;480.4039;-1.490;LA  ; 3.61; 1.37
 717;LaII;511.4558;-1.030;LA  ;     ;
 717;LaII;632.0377;-1.610;ABH ; 4.80; 1.57
 717;CeII;518.7457; 0.130;H   ; 4.49; 1.86
 717;CeII;533.0556;-0.360;H   ; 3.35; 1.64
 717;CeII;546.8372; 0.140;H   ; 3.31; 1.75
 717;CeII;604.3374;-0.430;H   ; 1.37; 1.48
 717;NdII;491.4382;-0.700;HA  ; 5.72; 1.80
 717;NdII;495.9119;-0.800;HA  ;     ;
 717;NdII;496.1387;-0.710;MC' ; 4.76; 1.84
 717;NdII;508.9832;-1.160;MC' ; 3.54; 1.44
 717;NdII;529.3162; 0.100;HA  ;     ;
 717;NdII;543.1515;-0.470;HA  ; 3.26; 1.75
 717;NdII;548.5695;-0.120;HA  ; 5.15; 2.06
 772;OI  ;630.0304;-9.717;STZ ; 0.01; 8.07
 772;NaI ;568.2633;-0.700;KP  ;     ;
 772;NaI ;615.4227;-1.560;KP  ; 3.32; 5.51
 772;NaI ;616.0747;-1.260;KP  ; 3.42; 5.23
 772;MgI ;552.8405;-0.552;GC  ;18.19; 6.73
 772;MgI ;571.1087;-1.729;GC  ;10.16; 6.78
 772;MgI ;631.8716;-1.945;GC  ; 3.19; 6.83
 772;MgI ;631.9237;-2.165;GC  ; 3.24; 7.06
 772;AlI ;669.8673;-1.647;NBS ;     ;
 772;SiI ;577.2147;-1.750;GARZ; 4.82; 7.08
 772;SiI ;594.8541;-1.230;GARZ; 8.84; 7.23
 772;SiI ;612.5021;-1.540;ED  ; 2.29; 6.98
 772;SiI ;614.2482;-1.480;ED  ; 4.34; 7.35
 772;SiI ;614.5015;-1.430;ED  ; 3.79; 7.20
 772;SiI ;615.5134;-0.770;ED  ; 7.87; 7.25
 772;CaI ;551.2980;-0.447;SR  ;10.09; 5.78
 772;CaI ;560.1277;-0.523;SR  ;12.43; 5.87
 772;CaI ;585.7451; 0.240;SR  ;13.38; 5.66
 772;CaI ;586.7562;-1.490;GC  ; 3.58; 5.69
 772;CaI ;612.2217;-0.315;NIST;17.26; 5.53
 772;CaI ;615.6022;-2.180;NIST;     ;
 772;CaI ;616.1296;-1.266;SR  ; 9.20; 5.88
 772;CaI ;616.2174; 0.100;NBS ;     ;
 772;CaI ;616.6438;-1.142;SR  ; 8.01; 5.55
 772;CaI ;616.9042;-0.797;SR  ;10.93; 5.74
 772;CaI ;616.9562;-0.270;NBS ;     ;
 772;CaI ;643.9075; 0.390;SR  ;17.33; 5.66
 772;CaI ;645.5597;-1.290;SR  ; 7.85; 5.65
 772;CaI ;649.3781;-0.109;SR  ;14.52; 5.68
 772;CaI ;649.9650;-0.818;SR  ; 9.95; 5.54
 772;CaI ;650.8850;-2.110;NBS ; 1.51; 5.30
 772;CaI ;679.8479;-2.320;K88 ; 2.28; 5.93
 772;ScII;552.6790; 0.130;MFW ;10.91; 2.40
 772;ScII;632.0852;-1.770;NBS ; 1.62; 2.14
 772;TiI ;488.5078; 0.358;MFW ; 8.97; 4.13
 772;TiI ;491.5229;-1.019;MFW ;     ;
 772;TiI ;499.7097;-2.118;MFW ;     ;
 772;TiI ;508.7058;-0.780;MFW ;     ;
 772;TiI ;586.6450;-0.840;MFW ; 8.41; 3.99
 772;TiI ;612.6215;-1.425;MFW ; 6.72; 4.27
 772;VI  ;573.7059;-0.740;MFW ; 3.28; 3.05
 772;VI  ;613.5361;-0.746;MFW ;     ;
 772;VI  ;615.0157;-1.780;MFW ;     ;
 772;CrII;488.4607;-2.080;MFW ; 3.76; 5.24
 772;MnI ;511.7900;-1.140;MFW ; 0.02; 4.56
 772;FeI ;489.2859;-1.290;FMW ; 5.91; 6.78
 772;FeI ;506.7151;-0.970;FMW ; 8.34; 6.92
 772;FeI ;510.4438;-1.690;FMW ;     ;
 772;FeI ;510.9652;-0.980;FMW ; 7.90; 6.92
 772;FeI ;552.5545;-1.330;FMW ;     ;
 772;FeI ;585.5076;-1.760;FMW ;     ;
 772;FeI ;585.6087;-1.640;FMW ; 6.24; 7.22
 772;FeI ;585.8779;-2.260;FMW ; 2.37; 7.01
 772;FeI ;586.1109;-2.450;FMW ; 1.22; 6.93
 772;FeI ;587.7794;-2.230;FMW ; 3.34; 7.14
 772;FeI ;588.3817;-1.360;FMW ; 9.15; 7.07
 772;FeI ;615.1616;-3.299;FMW ;     ;
 772;FeI ;616.5360;-1.550;FMW ; 6.46; 6.96
 772;FeI ;618.7990;-1.720;FMW ; 6.34; 6.86
 772;FeI ;649.6465;-0.570;FMW ; 8.45; 7.12
 772;FeI ;670.3565;-3.160;FMW ; 7.16; 6.90
 772;FeII;483.3197;-4.780;FMW ; 1.94; 6.97
 772;FeII;492.3927;-1.320;FMW ;     ;
 772;FeII;499.3358;-3.650;FMW ; 6.37; 7.03
 772;FeII;510.0664;-4.370;FMW ;     ;
 772;FeII;513.2669;-4.180;FMW ; 3.98; 7.06
 772;FeII;516.1184;-4.483;K88 ;     ;
 772;FeII;525.6937;-4.250;K88 ;     ;
 772;FeII;526.4812;-3.190;FMW ; 6.09; 7.01
 772;FeII;614.9259;-2.724;K88 ;     ;
 772;CoI ;533.1700;-6.473;K88 ; 0.02; 3.86
 772;CoI ;553.0700;-2.060;FMW ; 0.02; 3.94
 772;NiI ;585.7747;-0.636;K88 ; 4.38; 5.55
 772;NiI ;612.8963;-3.330;FMW ; 5.86; 5.39
 772;NiI ;613.0130;-0.960;FMW ; 1.88; 5.44
 772;NiI ;617.5360;-0.530;FMW ; 4.93; 5.43
 772;NiI ;617.6807;-0.260;LW  ; 7.86; 5.70
 772;NiI ;617.7236;-3.500;FMW ; 3.95; 5.43
 772;CuI ;510.5500;-1.516;BIEL; 0.02; 3.02
 772;ZnI ;481.0528;-0.170;BG  ;     ;
 772;YII ;488.3683; 0.070;HL  ; 9.37; 1.41
 772;YII ;498.2130;-1.290;HL  ; 2.78; 1.30
 772;YII ;508.7417;-0.170;HL  ; 7.13; 1.11
 772;YII ;511.9113;-1.360;HL  ; 3.15; 1.39
 772;BaII;649.6896;-0.377;NBS ;18.92; 2.05
 772;LaII;480.4039;-1.490;LA  ; 3.53; 0.98
 772;LaII;511.4558;-1.030;LA  ;     ;
 772;LaII;632.0377;-1.610;ABH ; 4.31; 1.07
 772;CeII;518.7457; 0.130;H   ; 3.00; 1.16
 772;CeII;533.0556;-0.360;H   ; 3.26; 1.28
 772;CeII;546.8372; 0.140;H   ;     ;
 772;CeII;604.3374;-0.430;H   ; 2.04; 1.43
 772;NdII;491.4382;-0.700;HA  ; 3.82; 0.89
 772;NdII;495.9119;-0.800;HA  ; 6.73; 1.17
 772;NdII;496.1387;-0.710;MC' ; 3.01; 1.04
 772;NdII;508.9832;-1.160;MC' ; 2.94; 0.94
 772;NdII;529.3162; 0.100;HA  ; 6.48; 1.13
 772;NdII;543.1515;-0.470;HA  ; 2.84; 1.33
 772;NdII;548.5695;-0.120;HA  ; 2.32; 1.03
 867;OI  ;630.0304;-9.717;STZ ; 0.01; 8.01
 867;NaI ;568.2633;-0.700;KP  ; 6.37; 5.19
 867;NaI ;615.4227;-1.560;KP  ;     ;
 867;NaI ;616.0747;-1.260;KP  ; 3.50; 5.30
 867;MgI ;552.8405;-0.552;GC  ;17.65; 6.62
 867;MgI ;571.1087;-1.729;GC  ;10.73; 6.84
 867;MgI ;631.8716;-1.945;GC  ; 2.40; 6.69
 867;MgI ;631.9237;-2.165;GC  ; 2.28; 6.88
 867;AlI ;669.8673;-1.647;NBS ;     ;
 867;SiI ;577.2147;-1.750;GARZ;     ;
 867;SiI ;594.8541;-1.230;GARZ;     ;
 867;SiI ;612.5021;-1.540;ED  ;     ;
 867;SiI ;614.2482;-1.480;ED  ; 3.87; 7.13
 867;SiI ;614.5015;-1.430;ED  ; 3.30; 6.98
 867;SiI ;615.5134;-0.770;ED  ; 5.99; 6.76
 867;CaI ;551.2980;-0.447;SR  ; 8.98; 5.57
 867;CaI ;560.1277;-0.523;SR  ;12.63; 5.82
 867;CaI ;585.7451; 0.240;SR  ;     ;
 867;CaI ;586.7562;-1.490;GC  ; 4.00; 5.82
 867;CaI ;612.2217;-0.315;NIST;16.67; 5.39
