#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-04-23T09:16:44 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ517651004fa8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/117A&tab:{V/117A/newcat}&key:source=V/117A/newcat&HTTPPRM:&&-ref=VIZ517651004fa8&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/117A/newcat
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=UVel
#-out=VVel
#-out=WVel
#-out=RVel
#-out=e_RVel
#-out=pmRA
#-out=pmDE
#-out=e_pm
#Tycho-2=Tycho-2
#Simbad=Simbad
#

#RESOURCE=yCat_5117
#Name: V/117A
#Title: Geneva-Copenhagen Survey of Solar neighbourhood (Holmberg+, 2007)
#INFO	status=obsolete	
#    This catalogue is obsoleted by <V/130>
#
#Table	V_117A_newcat:
#Name: V/117A/newcat
#Title: Main catalogue recalibrated data (2007)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a11)	Object name (HD,BD,CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I3)	? Distance	[ucd=pos.distance;pos.heliocentric]
#Column	UVel	(I4)	? Heliocentric space velocity component U (3)	[ucd=pos.cartesian.x]
#Column	VVel	(I4)	? Heliocentric space velocity component V (3)	[ucd=pos.cartesian.y]
#Column	WVel	(I4)	? Heliocentric space velocity component W (3)	[ucd=pos.cartesian.z]
#Column	RVel	(F6.1)	? Mean radial velocity (10)	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RVel	(F5.1)	? Standard deviation of RVel measurements	[ucd=stat.error;spect.dopplerVeloc]
#Column	pmRA	(I5)	? Proper motion in right ascension (4)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in declination (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pm	(I2)	? Standard error of total proper motion (4)	[ucd=stat.error]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;Dist;UVel;VVel;WVel;RVel;e_RVel;pmRA;pmDE;e_pm
076.6758;+14.4461;HD 32850   ;05 06 42.2;+14 26 46; 24; -25; -44;   3;  28.3;  4.8;  283; -240; 2
076.6792;+14.0847;HD 32851   ;05 06 43.0;+14 05 05; 59;  17; -23; -21;  -7.4;  0.5;  -21; -121; 2
076.2017;-31.5881;HD 32856   ;05 04 48.4;-31 35 17;   ;    ;    ;    ;  -6.2;  0.1;  -31;  -75; 2
076.7558;+16.8272;HD 32879   ;05 07 01.4;+16 49 38; 92; -46; -38;  -7;  49.9;  1.2;   54;  -56; 1
076.6904; +6.4214;HD 32909   ;05 06 45.7;+06 25 17; 76;   6;   8; -13;  -2.7;  0.5;  -45;   -7; 2
076.5458;-10.4219;HD 32913   ;05 06 11.0;-10 25 19;109;  24;  -4; -15;  -9.5;  0.3;  -26;  -46; 2
076.4800;-13.9136;HD 32915   ;05 05 55.2;-13 54 49; 47; -29; -14;   7;  24.1;  0.3;   82;   58; 2
076.8625;+18.6450;HD 32923   ;05 07 27.0;+18 38 42; 16; -26; -24;  29;  20.3;  0.3;  537;   19; 1
076.2271;-40.5703;HD 32946   ;05 04 54.5;-40 34 13; 67; -13;   6;   5;  -2.4;  0.6;    7;   47; 3
077.1175;+37.9131;HD 32949   ;05 08 28.2;+37 54 47;   ;    ;    ;    ;  12.6; 13.4;  -31;  -26; 2
076.9821;+26.3278;HD 32963   ;05 07 55.7;+26 19 40; 35;  64;  -5;  -6; -62.9;  0.3;  -68;  -67; 2
076.3658;-33.8125;HD 32969   ;05 05 27.8;-33 48 45; 47;   2; -48; -29;  48.7;  0.3;   19; -124; 2
076.7308; -5.1656;HD 32994   ;05 06 55.4;-05 09 56; 75;   3; -19;  15;  -1.5;  0.2;   63;  -24; 1
078.0962;+67.6792;HD 33001   ;05 12 23.1;+67 40 45;116;    ;    ;    ;      ;     ;   24;  -54; 2
076.9142;+12.5411;HD 33006   ;05 07 39.4;+12 32 28;101;    ;    ;    ;      ;     ;    7;   -2; 1
076.8196; +0.9908;HD 33008   ;05 07 16.7;+00 59 27;146; -20;  22; -32;  22.4;  0.8;  -51;   16; 2
077.1788;+32.6975;HD 33017   ;05 08 42.9;+32 41 51; 35;  65; -23;  -1; -67.6; 14.7;   22;  -90; 2
076.9096; +9.4717;HD 33021   ;05 07 38.3;+09 28 18; 28;  38; -35; -20; -22.9;  0.5;   -5; -382; 2
076.2121;-52.1808;HD 33075   ;05 04 50.9;-52 10 51;114;  24;  -7; -15;  11.2;  4.9;  -21;  -46; 2
077.4408;+42.6717;HD 33077   ;05 09 45.8;+42 40 18; 29;  10;  -6; -35; -11.7;  0.1; -192; -168; 1
076.7858;-17.2997;HD 33081   ;05 07 08.6;-17 17 59; 51;  36; -19;  -5; -12.0;  0.1;    6; -164; 2
076.8537;-12.4911;HD 33093   ;05 07 24.9;-12 29 28; 36; -30; -51; -14;  53.0;  0.4;  136; -109; 1
076.7904;-19.3917;HD 33095   ;05 07 09.7;-19 23 30; 38; -94; -15; -37;  89.2;  1.0;  -38;  275; 2
076.5937;-35.0269;HD 33098   ;05 06 22.5;-35 01 37;236;  -6;  15; -21;   4.1;  0.7;  -22;    8; 2
076.3454;-51.4333;HD 33132   ;05 05 22.9;-51 26 00; 77; -48;  27;  -8;  -8.0;  0.1;  -41;  146; 2
077.6787;+46.9619;HD 33167   ;05 10 42.9;+46 57 43; 50; -49; -22;  -7;  38.8;  3.7;   58; -150; 1
077.4317;+29.7986;HD 33185   ;05 09 43.6;+29 47 55; 53;  -1; -10;  13;  -1.5;  1.1;   66;    0; 1
077.6417;+40.8439;HD 33202   ;05 10 34.0;+40 50 38; 80;  64;  -9; -21; -64.8;  0.2;  -53;  -16; 1
077.1333; -2.8244;HD 33207   ;05 08 32.0;-02 49 28; 75;    ;    ;    ;      ;     ;  -30;  -12; 1
077.1387; -3.0094;HD 33208   ;05 08 33.3;-03 00 34; 96; -36; -17;  -3;  37.5;  0.1;   27;   12; 2
073.0863;-82.4758;HD 33214   ;04 52 20.7;-82 28 33; 33; -27; -14;  10;  -4.1;  0.1;  139;  150; 2
077.3021;+11.4950;HD 33221   ;05 09 12.5;+11 29 42; 92;    ;    ;    ;      ;     ;   -7;  -23; 2
077.1567; -3.3058;HD 33223   ;05 08 37.6;-03 18 21; 97;    ;    ;    ;      ;     ;  -12;  -33; 2
076.3283;-56.7814;HD 33229   ;05 05 18.8;-56 46 53;119;    ;    ;    ;      ;     ;  -12;  -11; 2
077.3108;+11.4931;HD 33234   ;05 09 14.6;+11 29 35;114;    ;    ;    ;      ;     ;   -4;  -22; 1
074.6275;-78.1858;HD 33245   ;04 58 30.6;-78 11 09;133; -30; -15;   6;   0.3;  0.3;   31;   45; 2
077.5158;+27.5564;HD 33252   ;05 10 03.8;+27 33 23; 40; -20; -34;  19;  15.3;  0.4;  198;  -88; 1
077.1817; -4.4561;HD 33256   ;05 08 43.6;-04 27 22; 25; -10;  -6;   2;  10.1;  0.5;   54;   15; 1
076.3775;-57.4725;HD 33262   ;05 05 30.6;-57 28 21; 12;  -6;   3;  -2;  -0.8;  0.4;  -32;  118; 1
077.5600;+30.5747;HD 33269   ;05 10 14.4;+30 34 29; 62;   0; -38; -13;  -2.2;  0.3;   40; -130; 2
078.5204;+66.0567;HD 33275   ;05 14 04.9;+66 03 24;107;  46;  -1; -10; -39.8;     ;  -25;   42; 2
077.2379; -2.7225;HD 33279   ;05 08 57.1;-02 43 21;   ;    ;    ;    ;      ;     ;   58;   70; 2
077.0042;-26.7972;HD 33283   ;05 08 01.0;-26 47 50; 93;  11; -28;  14;   4.1;  0.1;   58;  -46; 2
077.1429;-17.3281;HD 33291   ;05 08 34.3;-17 19 41;   ;    ;    ;    ;      ;     ;   -7;    5; 2
077.7596;+39.2819;HD 33298   ;05 11 02.3;+39 16 55; 45;   7;  -2;   7;  -7.6;  0.4;   27;   18; 1
077.4412; +7.1814;HD 33313   ;05 09 45.9;+07 10 53; 47; -35; -12;  -1;  34.9;  0.3;   49;   14; 2
077.2150;-12.9161;HD 33318   ;05 08 51.6;-12 54 58; 77; -14; -19;  -3;  21.1;  8.5;   28;  -12; 2
077.7950;+35.3575;HD 33333   ;05 11 10.8;+35 21 27;159;    ;    ;    ;      ;     ;   11;  -41; 2
077.7458;+32.0386;HD 33334   ;05 10 59.0;+32 02 19; 47; -78;  30; -29;  82.9;  0.1; -136;   17; 2
077.5608;+13.9950;HD 33335   ;05 10 14.6;+13 59 42;   ;    ;    ;    ;  36.6;  0.1;   18;  -12; 1
077.5625;+13.9878;HD 33335   ;05 10 15.0;+13 59 16;   ;    ;    ;    ;  36.8;  0.2;   13;  -17; 1
077.5433;+13.5483;HD 33336   ;05 10 10.4;+13 32 54; 68;   6;   2; -23;  -0.1;     ;  -64;  -41; 2
077.4925; +8.1731;HD 33340   ;05 09 58.2;+08 10 23; 84;  72; -11; -15; -59.7;  8.6;  -39; -106; 2
077.6854;+25.1414;HD 33366   ;05 10 44.5;+25 08 29; 67;  71; -46; -31; -66.0;  0.3;  -25; -190; 1
077.2150;-22.6347;HD 33374   ;05 08 51.6;-22 38 05;   ;    ;    ;    ;      ;     ;    6;    9; 2
078.0783;+45.7553;HD 33393   ;05 12 18.8;+45 45 19; 97; -71; -33;  10;  57.8;  0.1;   79;  -86; 1
077.6979;+20.5692;HD 33400   ;05 10 47.5;+20 34 09; 86; -44; -20;  -1;  44.6;  6.3;   42;  -25; 1
077.3792;-12.0292;HD 33405   ;05 09 31.0;-12 01 45;243; -69; -16; -52;  83.2;     ;  -20;   13; 2
077.3529;-15.6636;HD 33406   ;05 09 24.7;-15 39 49;   ;    ;    ;    ; -18.1;  0.1;  -14;  -16; 2
076.6562;-57.5522;HD 33409   ;05 06 37.5;-57 33 08;   ;    ;    ;    ;  33.1;  4.6;   -7;   -3; 2
077.6662;+15.2794;HD 33418   ;05 10 39.9;+15 16 46; 99;  11; -19;  -7;  -6.7;  1.5;    7;  -46; 2
077.5262; -1.1447;HD 33429   ;05 10 06.3;-01 08 41; 73;    ;    ;    ;      ;     ;   21;  -66; 1
077.5083; -7.0717;HD 33449   ;05 10 02.0;-07 04 18; 46; -19; -56; -60;  64.1;  0.2;  -60; -240; 2
077.1246;-41.2136;HD 33473   ;05 08 29.9;-41 12 49; 58; -86;   7; -35;  43.8;  0.2;  -73;  289; 1
076.5467;-62.7894;HD 33476   ;05 06 11.2;-62 47 22; 60; -85;   8; -22;   3.2;  0.2;  -32;  308; 2
076.9121;-53.5572;HD 33485   ;05 07 38.9;-53 33 26; 61; -19;   5;  -5;   1.7;  0.3;  -14;   67; 2
076.2229;-69.1686;HD 33487   ;05 04 53.5;-69 10 07; 42;  -6;  24;  19; -31.3;  4.1;   12;    5; 2
077.4304;-22.4939;HD 33495   ;05 09 43.3;-22 29 38;109;    ;    ;    ;      ;     ;  -20;   -6; 2
078.3037;+49.8608;HD 33501   ;05 13 12.9;+49 51 39;114;    ;    ;    ;      ;     ;   19;  -50; 2
078.0400;+32.8950;HD 33503   ;05 12 09.6;+32 53 42; 80; -13;   2;   1;  13.3;  1.2;    3;    3; 1
077.5858; -7.5939;HD 33507   ;05 10 20.6;-07 35 38; 57;  24; -29; -31;   7.0; 20.2;  -43; -174; 2
076.8925;-54.9889;HD 33514   ;05 07 34.2;-54 59 20; 66; -16;  -2; -23;  17.0;  0.2;  -49;   53; 2
078.2858;+46.8522;HD 33520   ;05 13 08.6;+46 51 08; 52; -42; -12; -12;  34.7;     ;   10; -114; 1
077.2812;-42.0186;HD 33562   ;05 09 07.5;-42 01 07;111;    ;    ;    ;      ;     ;   -1;  -41; 1
075.4842;-76.6283;HD 33563   ;05 01 56.2;-76 37 42; 57;  42; -10;  -8;  23.8;  0.2;  -29; -133; 2
080.6396;+79.2311;HD 33564   ;05 22 33.5;+79 13 52; 21;  20;   5;  -4; -10.7;  0.2;  -79;  161; 1
078.0479;+24.2792;HD 33571   ;05 12 11.5;+24 16 45; 97;    ;    ;    ;      ;     ;  -10;  -19; 1
078.5071;+51.4306;HD 33580   ;05 14 01.7;+51 25 50; 59;  13; -52; -16; -33.3;  0.2;   54; -153; 2
077.8296; -2.4906;HD 33608   ;05 11 19.1;-02 29 26; 39; -31; -21;  -1;  33.8;  0.4;   82;    2; 1
076.4950;-68.4164;HD 33617   ;05 05 58.8;-68 24 59; 80; -16; -11;   0;   7.0;  0.2;   25;   43; 2
078.3225;+37.3372;HD 33632   ;05 13 17.4;+37 20 14; 26;   2;  -3; -24;  -1.8;  0.1; -145; -134; 2
077.9433; +4.4033;HD 33636   ;05 11 46.4;+04 24 12; 29;   0; -30;   9;   5.3;  0.5;  180; -138; 2
078.2954;+33.3181;HD 33643   ;05 13 10.9;+33 19 05;154; -35; -30; -18;  31.4;  7.4;   10;  -51; 2
077.9387; +1.0369;HD 33646   ;05 11 45.3;+01 02 13;   ;    ;    ;    ; -14.4;  0.2;   -1;  -17; 2
077.4154;-44.3353;HD 33649   ;05 09 39.7;-44 20 07; 61; -36; -16; -10;  28.3;  0.7;   21;   98; 1
077.1217;-56.9875;HD 33670   ;05 08 29.2;-56 59 15;   ;    ;    ;    ;  26.9;  0.2;   -3;   37; 2
078.0846;+11.3628;HD 33673   ;05 12 20.3;+11 21 46;111; -33; -13;  -2;  34.2;  1.4;   19;   -3; 2
077.7371; +0.0056;BD -00 872 ;05 10 56.9;+00 00 20;136;    ;    ;    ;      ;     ;    9;  -13; 1
078.2642;+24.3967;HD 33689   ;05 13 03.4;+24 23 48; 77;  31;  -4;  -2; -30.0;  0.3;   -7;  -19; 1
077.9046;-10.3869;HD 33693   ;05 11 37.1;-10 23 13; 89;  10; -25; -11;   8.4;  0.1;   10;  -65; 2
077.8496;-22.1703;HD 33726   ;05 11 23.9;-22 10 13; 49;  -5;  -3;  14;  -2.2;  1.1;   59;   25; 2
077.8004;-29.5958;HD 33759   ;05 11 12.1;-29 35 45;125;    ;    ;    ;      ;     ;    1;  -30; 2
078.1550; +0.0803;HD 33779   ;05 12 37.2;+00 04 49;129; -53; -23; -11;  58.0;  0.4;   17;    6; 2
078.6692;+42.4183;HD 33785   ;05 14 40.6;+42 25 06;   ;    ;    ;    ;      ;     ;  -11;   -7; 1
077.9192;-45.0183;HD 33793   ;05 11 40.6;-45 01 06;   ;    ;    ;    ; 245.2;  0.5; 6544;-5774; 2
078.8142;+47.1706;HD 33798   ;05 15 15.4;+47 10 14;   ;    ;    ;    ;  21.2;  1.3;   90; -107; 2
077.8750;-30.2253;HD 33807   ;05 11 30.0;-30 13 31;118; -16; -19;  -4;  22.9;  0.1;   18;    7; 2
077.5117;-52.6508;HD 33825   ;05 10 02.8;-52 39 03;139; -17; -39;  -7;  37.1; 13.8;   29;   14; 2
078.3542; +3.6869;HD 33866   ;05 13 25.0;+03 41 13; 47;   3;   9;  -3;  -4.4;  0.3;  -36;   21; 1
077.6417;-51.3014;HD 33873   ;05 10 34.0;-51 18 05; 58; -32; -17;  -5;  22.0;  0.1;   37;  102; 2
076.4892;-73.5939;HD 33876   ;05 05 57.4;-73 35 38; 64; -41;  -8; -24;  10.5;  0.5;  -27;  152; 2
078.8946;+44.3383;HD 33878   ;05 15 34.7;+44 20 18;   ;    ;    ;    ;      ;     ;   32;  -26; 2
078.1079;-24.9222;HD 33888   ;05 12 25.9;-24 55 20; 98;  17; -10;   0;  -4.2;  0.6;    8;  -41; 4
078.0887;-26.5528;HD 33889   ;05 12 21.3;-26 33 10; 79;  35; -19;  -3;  -5.8;  0.5;   12; -104; 2
079.3646;+60.1817;HD 33924   ;05 17 27.5;+60 10 54; 49; -29; -13; -14;  15.6;  1.4;   -5; -136; 2
078.2000;-22.5075;HD 33933   ;05 12 48.0;-22 30 27;   ;    ;    ;    ;      ;     ;   16;    3; 2
080.5158;+75.1953;HD 33940   ;05 22 03.8;+75 11 43;112; -11; -25;   1;  -7.6;  9.1;   30;  -38; 2
078.4587; -0.8864;HD 33947   ;05 13 50.1;-00 53 11;131;    ;    ;    ;      ;     ;    3;  -30; 1
078.3550;-18.5583;HD 33995   ;05 13 25.2;-18 33 30;105;   6; -17; -14;  12.9;  0.2;   -5;  -38; 2
078.1492;-34.4800;HD 33999   ;05 12 35.8;-34 28 48; 66;  -8; -23; -14;  28.0;     ;    9;  -17; 2
077.4054;-63.7772;HD 34002   ;05 09 37.3;-63 46 38;128; -53; -21; -15;  23.3;  0.1;   12;   88; 2
078.3867;-17.1064;HD 34012   ;05 13 32.8;-17 06 23; 75;  10;   5;   5; -11.6;  1.5;    1;   -7; 2
077.5262;-61.7344;HD 34015   ;05 10 06.3;-61 44 04;   ;    ;    ;    ;      ;     ;   -5;   19; 2
078.9712;+34.4231;HD 34030   ;05 15 53.1;+34 25 23;104; -22; -51; -31;  16.2;  0.2;   12; -125; 1
079.1371;+42.6675;HD 34040   ;05 16 32.9;+42 40 03;   ;    ;    ;    ;  -3.1;  1.9;  -15;   12; 2
078.4996;-14.6067;HD 34045   ;05 13 59.9;-14 36 24; 75; -22; -18; -12;  31.0;     ;   10;   -2; 2
078.1946;-37.9383;HD 34046   ;05 12 46.7;-37 56 18; 73; -97; -42;   3;  66.6;  0.1;  112;  211; 2
078.7937; +8.4322;HD 34081   ;05 15 10.5;+08 25 56;   ;    ;    ;    ;      ;     ;   15;  -16; 6
078.6150;-10.4164;HD 34086   ;05 14 27.6;-10 24 59; 93;    ;    ;    ;      ;     ;  -11;   15; 2
078.3871;-31.9042;HD 34088   ;05 13 32.9;-31 54 15; 66;   7;   7;  13; -15.1;  0.2;   17;    0; 2
078.5833;-15.8264;HD 34101   ;05 14 20.0;-15 49 35; 31;  -4; -55;  -3;  33.0;  2.8;  202; -223; 2
078.9321;+19.7297;HD 34117   ;05 15 43.7;+19 43 47;151; -15;  -4;   4;  14.0;     ;   10;    2; 2
078.8608; +7.0553;HD 34135   ;05 15 26.6;+07 03 19;160;  -5;   7;   2;   1.8;  0.7;   -2;   11; 2
078.8271; -1.4089;HD 34180   ;05 15 18.5;-01 24 32; 46; -12;   1; -11;  14.0;     ;  -36;    9; 1
078.7879; -6.8061;HD 34182   ;05 15 09.1;-06 48 22;   ;    ;    ;    ;      ;     ;   -7;  -13; 2
078.8483; -3.3658;HD 34195   ;05 15 23.6;-03 21 57; 90; -17;   3; -24;  22.5;  0.4;  -46;    3; 1
078.5829;-33.3486;HD 34216   ;05 14 19.9;-33 20 55;111;  15; -17; -17;  14.5;  1.8;  -11;  -46; 2
079.6967;+52.8308;HD 34234   ;05 18 47.2;+52 49 51;   ;    ;    ;    ;  23.3;  0.6;   38;   20; 2
078.9371; -4.7967;HD 34239   ;05 15 44.9;-04 47 48; 30; -32; -14;  -5;  33.8;  0.2;   50;   37; 2
078.3717;-47.8750;HD 34245   ;05 13 29.2;-47 52 30;116; -24;  11;  10;  -9.1;  0.7;    8;   47; 5
079.1767;+17.0200;HD 34252   ;05 16 42.4;+17 01 12; 95; -25;  -6; -11;  26.8;     ;   -7;  -12; 2
080.9317;+73.7903;HD 34254   ;05 23 43.6;+73 47 25; 70;  -5; -59;  10; -29.3;  0.1;  125;  -94; 2
078.8512;-19.0603;HD 34274   ;05 15 24.3;-19 03 37; 92;    ;    ;    ;      ;     ;   15;  -31; 2
079.0171; -5.5872;HD 34281   ;05 16 04.1;-05 35 14;106;    ;    ;    ;      ;     ;   -4;   35; 2
079.5992;+42.1097;HD 34289   ;05 18 23.8;+42 06 35;115;  -3;   2;  19;   3.8;  0.1;   27;   21; 1
076.6483;-77.5672;HD 34297   ;05 06 35.6;-77 34 02; 36;  72; -25;  26;  26.9;  0.5;  143; -418; 2
078.3662;-55.5689;HD 34327   ;05 13 27.9;-55 34 08; 53;  22; -26;   1;  18.4;  0.1;   52; -101; 2
079.7362;+45.2475;HD 34331   ;05 18 56.7;+45 14 51;   ;    ;    ;    ; -22.3;  1.5;    5;   -1; 2
079.7325;+45.2478;HD 34331   ;05 18 55.8;+45 14 52;   ;    ;    ;    ; -21.8;  0.2;   10;    0; 2
079.3796;+20.1317;HD 34335   ;05 17 31.1;+20 07 54; 73;  33; -22; -17; -28.0;     ;  -16;  -94; 1
079.3133;+13.5683;HD 34336   ;05 17 15.2;+13 34 06; 84; -13;  -7;   5;  12.2;     ;   24;    1; 2
078.0125;-65.1756;HD 34349   ;05 12 03.0;-65 10 32; 65; -14; -58; -29;  62.8; 56.7;   40;   58; 2
079.6387;+39.3511;HD 34350   ;05 18 33.3;+39 21 04;   ;    ;    ;    ; -10.1;  0.4;   -9;  -28; 2
079.2992; +8.9131;HD 34366   ;05 17 11.8;+08 54 47;321;    ;    ;    ;      ;     ;    9;  -17; 2
078.2846;-59.9828;HD 34377   ;05 13 08.3;-59 58 58; 41; -24; -13;  -6;  14.1;  2.0;   28;  118; 8
079.3779;+14.5139;HD 34386   ;05 17 30.7;+14 30 50; 54; -38; -24; -18;  43.6;  0.2;   12;  -74; 1
079.7850;+40.0989;HD 34411   ;05 19 08.4;+40 05 56; 13; -76; -37;   4;  66.5;  0.4;  519; -665; 1
079.4421;+13.6397;HD 34415   ;05 17 46.1;+13 38 23;174; -37; -18;  13;  35.1;  1.1;   30;    3; 2
079.2983; -1.9625;HD 34429   ;05 17 11.6;-01 57 45;   ;    ;    ;    ;      ;     ;   14;    0; 1
079.4204; +7.3533;HD 34445   ;05 17 40.9;+07 21 12; 45;  85;  -5;   7; -79.4;  0.6;   -2; -149; 2
072.6383;-85.3750;HD 34449   ;04 50 33.2;-85 22 30; 43;  15; -24;  -2;  25.8;  0.2;   48;  -37; 1
079.4125; +4.6836;HD 34456   ;05 17 39.0;+04 41 01;112; -25; -20; -19;  34.0;  0.2;   -2;  -27; 3
079.0583;-30.9522;HD 34475   ;05 16 14.0;-30 57 08; 88;  22;  -3;  -3;  -7.2;  0.1;   -8;  -51; 4
079.1004;-32.5133;HD 34484   ;05 16 24.1;-32 30 48; 61;  -2; -15;   0;  11.2;  0.2;   31;  -15; 2
079.1550;-30.3669;HD 34504   ;05 16 37.2;-30 22 01;116;    ;    ;    ;      ;     ;   22;   24; 2
079.6575;+12.0881;HD 34522   ;05 18 37.8;+12 05 17; 73;    ;    ;    ;      ;     ;   51;  -73; 2
079.0475;-41.0728;HD 34530   ;05 16 11.4;-41 04 22; 77; -15;  27; -18;  -4.3;  0.3;  -78;   58; 1
082.1996;+78.3003;HD 34531   ;05 28 47.9;+78 18 01;109; -45; -18;  -6;  15.5;     ;   17;  -89; 2
078.9292;-49.4447;HD 34540   ;05 15 43.0;-49 26 41; 32;  -3; -47; -15;  46.2;  4.4;  100;  -50; 1
079.2508;-31.2767;HD 34554   ;05 17 00.2;-31 16 36; 50; -39;   8;   2;  13.3;  0.3;    6;  161; 2
079.4067;-18.6614;HD 34564   ;05 17 37.6;-18 39 41;413;    ;    ;    ;      ;     ;    2;   -3; 2
078.9787;-48.6906;HD 34570   ;05 15 54.9;-48 41 26; 76;  39;  -1; -10;  -1.5;  0.2;  -34; -107; 1
080.5821;+59.2778;HD 34575   ;05 22 19.7;+59 16 40; 29;  -2; -56;   0; -24.2;  0.2;  226; -285; 1
080.0029;+32.7856;HD 34590   ;05 20 00.7;+32 47 08; 57;  -1; -11;  -3;   0.4;  0.1;   15;  -39; 1
079.1458;-42.5142;HD 34599   ;05 16 35.0;-42 30 51; 47; -30; -19; -12;  30.5;  0.3;   17;   94; 1
080.2317;+45.2669;HD 34601   ;05 20 55.6;+45 16 01;   ;    ;    ;    ;      ;     ;  -10;   -2; 2
080.4554;+51.4861;HD 34634   ;05 21 49.3;+51 29 10; 51; -36; -70;  19;  10.6;  0.1;  240; -229; 2
065.3192;-87.8128;HD 34652   ;04 21 16.6;-87 48 46; 59; -16; -23;  -3;  11.6;  0.1;   64;   68; 1
080.9158;+64.1247;HD 34654   ;05 23 39.8;+64 07 29; 44;  -6; -44;  12; -14.4;     ;  170; -127; 2
079.7967; +2.5956;HD 34658   ;05 19 11.2;+02 35 44; 61;  -1; -11; -15;   9.6;  0.6;  -20;  -52; 1
079.8025; -3.0736;HD 34673   ;05 19 12.6;-03 04 25; 17; -85; -58;  18;  87.6;  0.2;  697;  127; 3
079.2008;-48.6406;HD 34693   ;05 16 48.2;-48 38 26;132;   7; -34;  -4;  27.7;  1.2;   25;  -24; 1
079.6929;-17.5728;HD 34704   ;05 18 46.3;-17 34 22; 75; -16; -27;  13;  19.9;  0.5;   78;    1; 2
079.4217;-37.6183;HD 34705   ;05 17 41.2;-37 37 06; 60;  13;   2;  31; -23.4;  0.3;   80;  -23; 2
080.1854;+28.8931;HD 34717   ;05 20 44.5;+28 53 35; 28;  -8;   3;  -3;   8.0;     ;  -30;    7; 2
080.0150;+13.5447;HD 34720   ;05 20 03.6;+13 32 41; 53;   9; -15; -15;  -3.0;  0.1;  -19;  -89; 2
079.7100;-18.1300;HD 34721   ;05 18 50.4;-18 07 48; 25; -37; -44;  21;  40.4;  0.3;  386;   63; 1
079.5138;-34.0294;HD 34725   ;05 18 03.3;-34 01 46; 71;  -4;  -3;  28; -11.3;  0.2;   76;   22; 2
079.5142;-34.0331;HD 34725   ;05 18 03.4;-34 01 59; 69;    ;    ;    ;      ;     ;   72;   23; 3
079.8450; -5.4478;HD 34735   ;05 19 22.8;-05 26 52; 51;  -4;   4; -42;  18.1;  0.3; -148;  -51; 2
079.9542; +2.5136;HD 34745   ;05 19 49.0;+02 30 49; 38; -24; -28; -15;  35.3;  0.4;   30;  -98; 2
080.2337;+24.0369;HD 34772   ;05 20 56.1;+24 02 13;   ;    ;    ;    ;  21.1;     ;   32;  -45; 1
080.2317;+24.0353;HD 34772   ;05 20 55.6;+24 02 07;   ;    ;    ;    ;      ;     ;   32;  -40; 1
079.7542;-21.9842;HD 34779   ;05 19 01.0;-21 59 03; 90; -32; -45; -27;  60.3;  0.7;   16;  -20; 2
079.4371;-43.6033;HD 34781   ;05 17 44.9;-43 36 12; 86; -55; -14; -31;  44.6;  0.3;  -29;  112; 1
079.8567;-14.7683;HD 34796   ;05 19 25.6;-14 46 06; 67; -38; -22; -33;  54.0;  0.3;  -34;    0; 2
079.6917;-28.8722;HD 34799   ;05 18 46.0;-28 52 20;   ;    ;    ;    ;      ;     ;    2;  -13; 2
081.1967;+64.7311;HD 34804   ;05 24 47.2;+64 43 52;   ;    ;    ;    ; -10.7;     ;    7;   14; 3
080.1333; +5.6636;HD 34834   ;05 20 32.0;+05 39 49;126; -24; -20;  -4;  28.3;  0.7;   17;  -13; 3
079.6100;-41.0442;HD 34836   ;05 18 26.4;-41 02 39;101;  -2; -27; -17;  31.1;  1.1;    3;  -20; 1
081.1842;+63.3864;HD 34839   ;05 24 44.2;+63 23 11; 46;  11;  -2; -32; -17.9;  1.3; -121;  -51; 3
